companyShortName,district,industryField,salary,positionName,workYear
碧桂园信管中心,南山区,"移动互联网,企业服务",15K-20K,Python&nbsp;开发工程师,3-5年
shein,南山区,电子商务,8k-16k,python开发工程师,1-3年
清影医疗,南山区,"医疗健康,其他",8K-16K,Python后端工程师,1-3年
欢雀科技,南山区,"企业服务,移动互联网",12k-16k,Python工程师,1-3年
CUBESEC,福田区,信息安全,7k-10k,Python 研发工程师（实习/正职）,不限
大讯永新,南山区,数据服务,6k-10k,Python/Java开发工程师,1-3年
美图公司,南山区,"移动互联网,硬件",25k-45k,高级后台工程师-Python（大数据&amp;AI）,3-5年
深圳市星月互娱科技有限公司,南山区,"移动互联网,游戏",10k-20k,量化系统python开发工程师,3-5年
点趣网络,宝安区,移动互联网,5k-8k,Python助理开发工程师,不限
Kiwi,南山区,"移动互联网,O2O",20k-40k,python后台开发工程师,1-3年
聚客软件,福田区,"电子商务,O2O",10k-20k,Python/Django工程师,1-3年
车涯互动,南山区,"移动互联网,企业服务",14k-18k,python运维开发工程师,3-5年
晶泰科技,福田区,"企业服务,医疗健康",15k-25k,科学计算软件开发工程师（ Python、C/C++、Fortran）,3-5年
August Robotics,福田区,"移动互联网,其他",10k-20k,Python 软件工程师,不限
江苏亿科达,福田区,"移动互联网,金融",13k-25k,Python 数据分析,3-5年
脑医生,罗湖区,"医疗健康,数据服务",10k-20k,人工智能工程师（Python）,1-3年
科达洁能,福田区,"移动互联网 ,企业服务",8k-15k,Python开发工程师（WEB方向）,1-3年
一面数据,南山区,"移动互联网,数据服务",10k-20k,Python工程师（爬虫方向）,1-3年
普天乐（深圳）科技有限公司,宝安区,游戏,12k-20k,游戏服务端Python开发工程师,3-5年
华海乐盈,南山区,移动互联网,10k-20k,Python爬虫工程师,1-3年
乐易网络,南山区,"移动互联网,游戏",15k-30k,web/python全栈工程师,3-5年
美图公司,南山区,"移动互联网,硬件",15k-30k,Python工程师（海外产品创新）,1-3年
千锋教育,宝安区,移动互联网,7k-13k,python助教老师（项目经理）,1-3年
惠群数据,南山区,"移动互联网,社交网络",7k-14k,Python开发运维工程师,1-3年
携程,罗湖区,"移动互联网,旅游",15k-20k,Python运维开发工程师,1-3年
笨鸟社交,南山区,企业服务,40k-60k,高级Python爬虫工程师,5-10年
富途证券,,"移动互联网,金融",15k-30k,运营开发工程师（Python）,1-3年
智现实,南山区,"移动互联网,企业服务",13k-25k,PHP/Node.js/Python 高级工程师,1-3年
汇金智融,南山区,"移动互联网,电子商务",8k-16k,python爬虫,1-3年
悦视光合,南山区,"移动互联网,企业服务",8k-16k,Python研发工程师 (WEB后端),不限
趣凡科技,南山区,"移动互联网,游戏",10k-20k,python游戏服务器开发,1-3年
暴鸡电竞,南山区,"移动互联网,文化娱乐",10k-19k,Python自动化测试,1-3年
新一洲,龙华新区,"电子商务,其他",12k-18k,python数据挖掘工程师,3-5年
云之梦科技,南山区,"移动互联网,O2O",10k-15k,"后台开发工程师（C++,PYTHON,GO）",1-3年
麦克斯韦,南山区,"移动互联网,数据服务",15K-25K,Python 爬虫工程师,1-3年
壹鸿,南山区,"移动互联网,O2O",15K-18K,Python爬虫工程师,1-3年
富途证券,南山区,"移动互联网,金融",20k-40k,社区服务端开发工程师(c++/python),3-5年
sosobtc,南山区,"移动互联网,金融",8k-12k,python数据爬虫工程师,1-3年
腾讯,南山区,"移动互联网 ,游戏",18k-36k,手Q后台开发（Java/C++/Python）,1-3年
米佳乐文化,南山区,文化娱乐,12k-15k,Python/C++金融软件开发工程师,3-5年
聚客软件,福田区,"电子商务,O2O",8k-16k,python爬虫工程师,1-3年
ASML睿初科技,南山区,"企业服务,数据服务",15k-30k,C++/Python后台软件开发高级工程师,3-5年
极光,南山区,"移动互联网,数据服务",15k-30k,极光调研 -数据工程师 (Java/Python),3-5年
